Date,Month,Season,ADG_INT,GBD_5min,GrazeMinutes,GrazeHrs_5min,MeanTA,MoonitorID,Pasture,Year,Week,Deployment,RFID,Rest,Walk,Graze,Total,%Graze,%Rest,GrazeHrs_4sec,Eartag
9/12/2019,9,2,1,78.83333333,473,7.899699609,21.18018339,22,19N,2019,11,1, 0-2338641,13810,738,7056,21604,32.7,63.9,7.8,242
9/12/2019,9,2,1,102.6611111,615.9666667,10.30104405,42.70847308,23,19N,2019,11,1, 0-2310363,11423,742,9452,21617,43.7,52.8,10.5,1037
9/12/2019,9,2,1,102.6611111,640.9666667,10.68277778,31.73846277,8,22W,2019,11,1, 0-2309508,10882,877,9860,21619,45.6,50.3,10.9,781
9/12/2019,9,2,1,154.7375,613.95,10.2325,32.13349583,9,22W,2019,11,1, 0-3213490,11402,1012,9209,21623,42.6,52.7,10.2,664
9/12/2019,9,2,1,134.3633333,681.8166667,11.36361111,37.05767653,11,22W,2019,11,1, 0-3213439,10958,804,9844,21606,45.6,50.7,10.9,796
9/12/2019,9,2,1,148.2458333,587.9833333,9.854354582,29.09711049,1,23E,2019,11,1, 0-2338524,12049,695,8885,21629,41.1,55.7,9.9,764
9/12/2019,9,2,1,168.9916667,675.9666667,11.26611111,33.31779209,7,23E,2019,11,1, 0-3223934,11371,544,9690,21605,44.9,52.6,10.8,769
9/13/2019,9,2,1,87.82222222,541.9333333,9.032222222,46.37184605,21,19N,2019,12,1, 0-2309577,12196,763,8679,21638,40.1,56.4,9.6,1153
9/13/2019,9,2,1,91.96944444,571.8166667,9.511343159,36.82782458,23,19N,2019,12,1, 0-2310363,12228,664,8725,21617,40.4,56.6,9.7,1037
9/13/2019,9,2,1,123.9958333,500.9833333,8.349722222,43.8799413,8,22W,2019,12,1, 0-2309508,13074,709,7828,21611,36.2,60.5,8.7,781
9/13/2019,9,2,1,181.9888889,540.9666667,9.016215465,32.58756112,9,22W,2019,12,1, 0-3213490,12702,689,8220,21611,38,58.8,9.1,664
9/13/2019,9,2,1,191.9888889,575.9666667,9.579597824,34.28105707,11,22W,2019,12,1, 0-3213439,12712,466,8441,21619,39,58.8,9.4,796
9/13/2019,9,2,1,169.7375,693.95,11.56583333,31.99214933,1,23E,2019,12,1, 0-2338524,10659,439,10494,21592,48.6,49.4,11.7,764
9/13/2019,9,2,1,135.7458333,537.9833333,8.985003653,25.07858587,7,23E,2019,12,1, 0-3223934,13171,367,8083,21621,37.4,60.9,9,769
9/14/2019,9,2,1,82.11666667,661.9333333,11.03222222,38.04662178,21,19N,2019,12,1, 0-2309577,10833,729,10040,21602,46.5,50.1,11.2,1153
9/14/2019,9,2,1,77.88518518,720.9666667,12.01611111,42.23077961,23,19N,2019,12,1, 0-2310363,10148,538,10926,21612,50.6,47,12.1,1037
9/14/2019,9,2,1,116.79,568.95,9.4825,35.42235937,8,22W,2019,12,1, 0-2309508,12094,843,8675,21612,40.1,56,9.6,781
9/14/2019,9,2,1,130.2458333,520.9833333,8.682955058,31.03104156,9,22W,2019,12,1, 0-3213490,12812,833,7967,21612,36.9,59.3,8.8,664
9/14/2019,9,2,1,88.49444444,530.9666667,8.867816425,32.65932218,11,22W,2019,12,1, 0-3213439,12956,739,7915,21610,36.6,60,8.8,796
9/14/2019,9,2,1,117.1933333,580.9666667,9.662758868,35.87014948,1,23E,2019,12,1, 0-2338524,12447,560,8629,21636,39.9,57.5,9.6,764
9/14/2019,9,2,1,155.2416667,615.9666667,10.26611111,29.91904124,7,23E,2019,12,1, 0-3223934,12195,660,8755,21610,40.5,56.4,9.7,769
9/15/2019,9,2,1,98.99166667,588.95,9.815833333,44.32413917,21,19N,2019,12,1, 0-2309577,11923,610,9074,21607,42,55.2,10.1,1153
9/15/2019,9,2,1,75.10740741,675.9666667,11.32891843,41.49869617,23,19N,2019,12,1, 0-2310363,10749,589,10275,21613,47.5,49.7,11.4,1037
9/15/2019,9,2,1,196.3166667,578.95,9.649166667,45.8673668,8,22W,2019,12,1, 0-2309508,12188,1170,8239,21597,38.1,56.4,9.2,781
9/15/2019,9,2,1,148.4833333,593.9333333,9.898888889,28.72138028,9,22W,2019,12,1, 0-3213490,11977,673,8946,21596,41.4,55.5,9.9,664
9/15/2019,9,2,1,201.9888889,615.9666667,10.26611111,37.53060859,11,22W,2019,12,1, 0-3213439,12109,601,8879,21589,41.1,56.1,9.9,796
9/15/2019,9,2,1,124.1933333,620.9666667,10.40714144,41.39096558,1,23E,2019,12,1, 0-2338524,11516,554,9550,21620,44.2,53.3,10.6,764
9/15/2019,9,2,1,119.19,595.95,9.9325,33.18737749,7,23E,2019,12,1, 0-3223934,12345,472,8789,21606,40.7,57.1,9.8,769
9/16/2019,9,2,1,129.4958333,532.9833333,8.883055556,49.56670447,21,19N,2019,12,1, 0-2309577,12787,583,8249,21619,38.2,59.1,9.2,1153
9/16/2019,9,2,1,95.16111111,580.9666667,9.682777778,44.14718717,23,19N,2019,12,1, 0-2310363,11905,440,9263,21608,42.9,55.1,10.3,1037
9/16/2019,9,2,1,126.4916667,515.9666667,8.599444444,36.47185234,8,22W,2019,12,1, 0-2309508,13073,614,7941,21628,36.7,60.4,8.8,781
9/16/2019,9,2,1,117.7416667,470.9666667,7.849444444,25.98433633,9,22W,2019,12,1, 0-3213490,13570,561,7496,21627,34.7,62.7,8.3,664
9/16/2019,9,2,1,168.6555556,505.9666667,8.432777778,32.83939987,11,22W,2019,12,1, 0-3213439,13388,548,7697,21633,35.6,61.9,8.5,796
9/16/2019,9,2,1,164.2333333,651.9333333,10.84309128,38.91777865,1,23E,2019,12,1, 0-2338524,11286,524,9794,21604,45.3,52.2,10.9,764
9/16/2019,9,2,1,116.79,583.95,9.7325,25.66441315,7,23E,2019,12,1, 0-3223934,12546,414,8656,21616,40,58,9.6,769
9/17/2019,9,2,1,101.6666667,610,10.16666667,45.46456739,21,19N,2019,12,1, 0-2309577,11513,693,9411,21617,43.5,53.3,10.4,1153
9/17/2019,9,2,1,86.74375,693.95,11.56583333,44.94436372,23,19N,2019,12,1, 0-2310363,9788,584,11243,21615,52,45.3,12.5,1037
9/17/2019,9,2,1,155.9875,628.95,10.4825,39.4637676,8,22W,2019,12,1, 0-2309508,11052,918,9633,21603,44.6,51.2,10.7,781
9/17/2019,9,2,1,120.1933333,605.9666667,10.09944444,30.14156522,9,22W,2019,12,1, 0-3213490,11643,845,9123,21611,42.2,53.9,10.1,664
9/17/2019,9,2,1,108.4944444,655.9666667,10.93277778,32.42590517,11,22W,2019,12,1, 0-3213439,11213,772,9628,21613,44.5,51.9,10.7,796
9/17/2019,9,2,1,98.42142857,693.95,11.67106201,42.88777019,1,23E,2019,12,1, 0-2338524,10166,828,10626,21620,49.1,47,11.8,764
9/17/2019,9,2,1,122.1933333,620.9666667,10.34944444,31.64564066,7,23E,2019,12,1, 0-3223934,11656,740,9216,21612,42.6,53.9,10.2,769
9/18/2019,9,2,1,142.7416667,585.9666667,9.766111111,31.50559204,8,22W,2019,12,1, 0-2309508,11671,823,9103,21597,42.1,54,10.1,781
9/18/2019,9,2,1,123.9916667,505.9666667,8.432777778,30.18215441,9,22W,2019,12,1, 0-3213490,12926,741,7912,21579,36.7,59.9,8.8,664
9/18/2019,9,2,1,166.9888889,505.9666667,8.432777778,30.45635158,11,22W,2019,12,1, 0-3213439,13316,658,7635,21609,35.3,61.6,8.5,796
